City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1337,Stutterheim,ZA,-32.5708,27.424,57.83,74,100,2.59,overcast clouds
1338,Man,CI,7.4125,-7.5538,70.0,90,87,1.92,overcast clouds
1339,Arrecife,ES,28.963,-13.5477,66.27,77,20,10.36,few clouds
1340,Utiel,ES,39.5667,-1.2,43.03,80,0,8.32,clear sky
1341,Tromso,NO,69.6496,18.957,21.22,53,0,13.8,clear sky
1342,Emmett,US,43.8735,-116.4993,46.54,80,30,2.33,scattered clouds
1343,Mbandaka,CD,0.0487,18.2603,74.3,88,95,0.94,overcast clouds
1344,Kanbe,MM,16.7053,96.0017,87.85,49,69,11.43,broken clouds
1345,Taree,AU,-31.9,152.4667,75.06,83,90,17.27,overcast clouds
1346,Rudraprayag,IN,30.2833,78.9833,76.05,22,0,1.36,clear sky
1347,Taylorville,US,39.5489,-89.2945,43.9,87,1,9.22,clear sky
1348,Flin Flon,CA,54.7682,-101.865,2.77,95,99,3.58,overcast clouds
1349,Clyde,US,41.3042,-82.9752,36.01,93,63,4.09,broken clouds
1350,Werda,BW,-25.2667,23.2833,70.56,69,93,11.99,light rain
1351,Otane,NZ,-39.8833,176.6333,68.38,74,100,0.74,overcast clouds
1352,Santa Leopoldina,BR,-20.1006,-40.5297,69.62,96,100,2.48,overcast clouds
1353,Catamarca,AR,-28.4696,-65.7852,75.78,70,67,1.01,broken clouds
1354,Gorazde,BA,43.6669,18.9764,31.53,96,86,2.93,overcast clouds
1355,Maunabo,PR,18.0072,-65.8993,80.44,89,5,9.66,clear sky
1356,Okha,RU,53.5739,142.9478,13.66,81,100,11.34,light snow
1357,Dofteana,RO,46.3167,26.5167,28.42,95,99,2.59,overcast clouds
1358,Grand Gaube,MU,-20.0064,57.6608,84.6,62,10,8.01,clear sky
1359,Kargasok,RU,59.0556,80.8572,25.14,87,100,16.4,light snow
1360,Asuncion Nochixtlan,MX,17.4667,-97.2333,48.0,92,31,4.34,scattered clouds
1361,Surgut,RU,61.25,73.4167,15.98,85,40,11.01,light shower snow
1362,Gazojak,TM,41.1875,61.4036,40.24,61,100,13.15,overcast clouds
1363,Solano,US,38.2333,-121.9511,55.9,92,1,14.97,mist
1364,Chivilcoy,AR,-34.8957,-60.0167,62.02,10,100,7.0,light rain
1365,Uaua,BR,-9.8414,-39.4817,72.18,79,99,12.46,overcast clouds
1366,Esna,EG,25.2934,32.554,66.45,31,3,5.41,clear sky
1367,Uusikaupunki,FI,60.8004,21.4084,21.72,94,96,7.94,overcast clouds
1368,Nerchinskiy Zavod,RU,51.3088,119.61,10.81,95,95,4.29,overcast clouds
1369,Petauke,ZM,-14.2426,31.3253,82.62,34,0,10.87,clear sky
1370,Greenwood,US,34.1668,-82.1165,59.11,67,1,8.05,clear sky
1371,Madinat Sittah Uktubar,EG,29.8167,31.05,58.6,64,98,2.75,overcast clouds
1372,Illela,NG,13.7292,5.2975,68.0,23,33,8.93,scattered clouds
1373,Milkovo,RU,54.7167,158.6167,26.87,97,100,2.53,overcast clouds
1374,Waitati,NZ,-45.75,170.5667,54.81,66,100,5.73,overcast clouds
1375,Puga,MX,21.5833,-104.8167,63.66,87,1,2.44,clear sky
1376,Dutse,NG,11.7594,9.3392,64.92,35,27,4.63,scattered clouds
1377,Chlorakas,CY,34.8042,32.4083,61.83,67,20,3.44,few clouds
1378,Pemangkat,ID,1.1667,108.9667,83.12,76,100,12.53,light rain
1379,Muzhi,RU,65.3667,64.6667,-6.05,99,99,4.25,overcast clouds
1380,Ajdabiya,LY,30.7554,20.2263,64.42,58,98,20.92,overcast clouds
1381,Lida,BY,53.8833,25.2997,28.8,78,100,10.74,overcast clouds
