City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Yellowknife,CA,2021-11-29 21:08:50,62.456,-114.3525,-11.58,80,8,1.01
59,Cidreira,BR,2021-11-29 21:08:50,-30.1811,-50.2056,76.73,59,31,11.41
60,Khatanga,RU,2021-11-29 21:08:50,71.9667,102.5,-28.25,100,96,5.44
61,Artigas,UY,2021-11-29 21:08:50,-30.4,-56.4667,79.57,42,13,14.32
62,Dikson,RU,2021-11-29 21:08:51,73.5069,80.5464,-14.3,96,100,16.71
63,Kavieng,PG,2021-11-29 21:08:51,-2.5744,150.7967,82.99,77,100,17.43
64,Sola,VU,2021-11-29 21:08:51,-13.8833,167.55,82.11,74,100,11.07
65,Mitsamiouli,KM,2021-11-29 21:08:52,-11.3847,43.2844,80.08,79,3,8.46
66,Berlevag,NO,2021-11-29 21:08:52,70.8578,29.0864,17.55,73,98,40.29
67,Tasiilaq,GL,2021-11-29 21:08:52,65.6145,-37.6368,24.96,94,100,10.6
68,Lakes Entrance,AU,2021-11-29 21:08:52,-37.8811,147.981,64.17,70,0,3.87
69,Nalut,LY,2021-11-29 21:08:53,30.3333,10.85,49.06,26,6,9.69
70,Houma,US,2021-11-29 21:08:53,29.5958,-90.7195,66.2,53,0,7.14
71,Vaini,TO,2021-11-29 21:08:53,-21.2,-175.2,82.56,69,20,10.36
72,Orange Cove,US,2021-11-29 21:08:54,36.6244,-119.3137,81.28,25,0,3.36
73,Saskylakh,RU,2021-11-29 21:08:54,71.9167,114.0833,-24.05,100,93,4.23
74,Barrow,US,2021-11-29 21:08:54,71.2906,-156.7887,-18.38,76,75,8.05
75,Inhambane,MZ,2021-11-29 21:08:54,-23.865,35.3833,73.11,76,0,11.18
76,Champerico,GT,2021-11-29 21:08:55,14.3,-91.9167,91.94,64,0,7.61
77,Kruisfontein,ZA,2021-11-29 21:08:55,-34.0033,24.7314,57.88,84,1,4.94
78,Laguna,US,2021-11-29 21:08:55,38.421,-121.4238,76.21,61,1,1.99
79,Klaksvik,FO,2021-11-29 21:08:56,62.2266,-6.589,36.52,63,100,19.44
80,Camacupa,AO,2021-11-29 21:08:56,-12.0167,17.4833,62.19,98,100,8.86
81,Lahuachaca,BO,2021-11-29 21:08:56,-17.3667,-67.6667,58.06,50,100,10.65
82,Upernavik,GL,2021-11-29 21:08:48,72.7868,-56.1549,21.96,95,100,4.97
83,Touros,BR,2021-11-29 21:07:01,-5.1989,-35.4608,83.3,75,14,12.55
84,Lozovik,RS,2021-11-29 21:08:57,44.4677,21.1007,38.05,67,100,9.91
85,Caravelas,BR,2021-11-29 21:08:57,-17.7125,-39.2481,78.62,81,2,13.4
86,Bluff,NZ,2021-11-29 21:09:57,-46.6,168.3333,57.79,77,100,8.99
87,Mataura,NZ,2021-11-29 21:09:57,-46.1927,168.8643,57.47,69,97,4.0
88,Alikalia,SL,2021-11-29 21:09:58,9.1667,-11.4,73.0,77,87,1.19
89,Ambon,ID,2021-11-29 21:09:58,-3.6954,128.1814,81.32,79,97,5.64
90,Mittagong,AU,2021-11-29 21:09:58,-34.45,150.45,59.0,87,99,3.91
91,San Cristobal,VE,2021-11-29 21:05:46,7.7669,-72.225,77.18,67,98,4.94
92,Arica,CL,2021-11-29 21:05:10,-18.475,-70.3042,74.75,68,0,14.97
93,Albany,US,2021-11-29 21:09:59,42.6001,-73.9662,33.15,68,80,5.01
94,Oloron-Sainte-Marie,FR,2021-11-29 21:09:59,43.1944,-0.6107,43.56,93,100,2.91
95,Mahon,ES,2021-11-29 21:09:59,39.8885,4.2658,48.76,76,40,3.44
96,Carnarvon,AU,2021-11-29 21:10:00,-24.8667,113.6333,69.78,76,0,22.48
97,Sao Raimundo Das Mangabeiras,BR,2021-11-29 21:10:00,-7.0219,-45.4811,82.98,64,78,1.83
98,Port Hardy,CA,2021-11-29 21:10:01,50.6996,-127.4199,50.45,87,100,10.02
99,Meulaboh,ID,2021-11-29 21:10:01,4.1363,96.1285,74.1,93,100,1.9
100,Kodiak,US,2021-11-29 21:10:01,57.79,-152.4072,36.91,93,90,24.16
101,Oktyabrskiy,RU,2021-11-29 21:10:02,54.4815,53.471,32.34,81,100,13.15
102,Vilaka,LV,2021-11-29 21:10:02,57.1846,27.6722,25.88,96,100,10.58
103,Ponta Do Sol,PT,2021-11-29 21:10:02,32.6667,-17.1,63.72,70,18,5.01
104,Abu Samrah,SY,2021-11-29 21:10:02,35.3029,37.1841,63.27,52,100,4.27
105,Norman Wells,CA,2021-11-29 21:10:03,65.282,-126.8329,-22.67,98,24,1.54
106,Port Elizabeth,ZA,2021-11-29 21:10:03,-33.918,25.5701,61.09,100,90,12.66
107,Yelizovo,RU,2021-11-29 21:10:03,53.1873,158.3805,17.74,93,90,13.42
108,Qaanaaq,GL,2021-11-29 21:10:04,77.484,-69.3632,8.24,61,100,7.76
109,Thompson,CA,2021-11-29 21:10:04,55.7435,-97.8558,27.77,94,98,7.52
110,Kutum,SD,2021-11-29 21:10:04,14.2,24.6667,71.13,32,97,9.75
111,Longyearbyen,SJ,2021-11-29 21:10:05,78.2186,15.6401,8.44,72,20,18.41
112,Maldonado,UY,2021-11-29 21:06:51,-34.6667,-54.9167,65.59,96,100,25.26
113,Hermanus,ZA,2021-11-29 21:10:05,-34.4187,19.2345,61.9,76,59,10.69
114,Yarada,IN,2021-11-29 21:10:05,17.65,83.2667,75.56,68,61,6.06
