City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1538,Passo De Camaragibe,BR,78.35,scattered clouds,-9.2368,-35.4901,Chácara vovó candinha
1540,Saquarema,BR,67.77,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
1541,San Angelo,US,65.53,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
1547,Pouembout,NC,78.4,overcast clouds,-21.1333,164.9,Camping de Tipenga
1554,Bhatgaon,IN,78.98,haze,21.15,81.7,IIT Bhilai Hostel(Castle Dio)
1561,Brandfort,ZA,62.01,light rain,-28.7001,26.4597,SUMFRA GUESTHOUSE
1565,Dong Hoi,VN,72.36,overcast clouds,17.4833,106.6,Nam Long Hotel
1566,Buriti Bravo,BR,70.7,overcast clouds,-5.8372,-43.8336,Hotel Fazenda
1569,Puerto Penasco,MX,69.15,broken clouds,31.3167,-113.5333,Playa Bonita Resort
1571,Trelew,AR,60.94,clear sky,-43.249,-65.3051,Hotel Touring Club
1580,Kamina,CD,76.33,few clouds,-8.7386,24.9906,Guest House Florvia
1582,Conchas,BR,61.72,clear sky,-23.0153,-48.0106,Pousada Villa Harmonia
1583,Arjona,CO,79.86,overcast clouds,10.2544,-75.3439,El Paraiso Hotel y Centro de Eventos
1584,Kokstad,ZA,60.67,light rain,-30.5472,29.4241,Majestic Bed and Breakfast
1588,Hengyang,CN,64.67,overcast clouds,26.8881,112.615,Honglin Guesthouse
1593,Caraballeda,VE,76.37,broken clouds,10.6112,-66.8522,Hotel 15 Letras
1594,Samana,DO,75.24,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
1597,Axim,GH,79.68,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
1598,Manutuke,NZ,71.98,moderate rain,-38.6833,177.9167,Jolly Stockman Hotel
1601,Camana,PE,67.17,overcast clouds,-16.6228,-72.7111,Hostal Morales
1602,Meiganga,CM,77.79,broken clouds,6.5167,14.3,DFR HOUSE
1608,Nimbahera,IN,74.98,clear sky,24.6167,74.6833,Royal Paras Hotel
1613,Carlsbad,US,60.31,mist,33.1581,-117.3506,Carlsbad Inn Beach Resort
1614,Teodoro Sampaio,BR,70.09,clear sky,-22.5325,-52.1675,MINI HOTEL
1615,Kasongo,CD,77.59,overcast clouds,-4.45,26.6667,Guest Hôtel
1616,Tongren,CN,63.55,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
1620,Formosa Do Rio Preto,BR,69.15,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
